
 Data Alignment: None
 Data Alignment Step: 0
C:\Users\Labuser\Documents\Octet experiments\2020\20200514 - AMC PCT media run3 kinetics 47-54, 200514_001.frd, 200514_002.frd, 200514_003.frd, 200514_004.frd, 200514_005.frd, 200514_006.frd, 200514_007.frd, 200514_008.frd, 200514_009.frd, 200514_010.frd, 200514_011.frd, 200514_012.frd, 200514_013.frd, 200514_014.frd, 200514_015.frd, 200514_016.frd, 
X Values, A2, B2, C2, D2, E2, F2, G2, H2, A3, B3, C3, D3, E3, F3, G3, H3, 
0.00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
15.81, -0.00207794, -0.00220981, 0.00293148, -0.00247189, -0.00541883, -0.00996978, 0.0017596, -0.00569501, -0.01212963, -0.00702937, -0.00722828, -0.00900569, -0.00662027, -0.01129743, -0.00439921, -0.00424588, 
16.01, -0.00465409, -0.00138708, 0.00281799, 0.00738332, -0.00447495, -0.00519487, 0.00254958, -0.00473673, -0.0124947, -0.00607303, -0.00872117, -0.00881306, -0.00383128, -0.00845624, -0.00321929, -0.00240508, 
16.20, -0.00617983, 0.00149398, 0.00039724, 0.0058618, -0.00548536, -0.00511945, -0.0015209, -0.001255, -0.01303542, -0.00839923, -0.00246118, -0.0082068, -0.00837736, -0.00669606, 0.00301456, 0.00241282, 
16.40, -0.00596326, 0.00186049, 0.0017132, 0.00267271, -0.00537487, -0.00626345, -0.00032694, -0.0073515, -0.01370854, -0.00656086, -0.00748415, -0.00820472, -0.00487671, -0.00683293, 0.00070767, -0.00099098, 
16.60, -0.00582858, 0.00100828, -0.00206755, 0.00374689, -0.00220656, -0.00869493, -0.00615556, -0.00597248, -0.01727465, -0.00907526, -0.00083341, -0.00591708, -0.01136685, -0.01105122, -0.00083873, -0.00042106, 
16.81, -0.00734535, 0.00181779, 0.00257161, 0.00588247, -0.00689402, -0.00305586, 0.00157314, -0.00629103, -0.01489837, -0.00195786, -0.01002963, -0.00926774, -0.0081897, -0.00825987, -0.00175635, -0.00240456, 
17.01, -0.00333098, 0.00003673, 0.00130575, 0.00436954, -0.00305806, -0.00659669, -0.00157968, -0.00599712, -0.01882691, -0.00409165, -0.00548323, -0.00782454, -0.00725179, -0.01302284, -0.00167535, -0.00126657, 
17.20, -0.00437203, 0.00014481, 0.0000569, 0.00672912, -0.00400925, -0.00607468, -0.00509133, -0.00886863, -0.01142477, -0.004491, -0.00401812, -0.00303174, -0.00469936, -0.01146294, -0.00315451, 0.00015548, 
17.40, -0.00959924, 0.00298203, -0.00430824, 0.01075979, -0.00977985, -0.00759129, -0.00298117, -0.00178438, -0.01567016, -0.00559545, -0.00543185, -0.0079472, -0.00088187, -0.01033531, -0.00491827, -0.00316563, 
17.60, -0.0038694, -0.00078147, -0.00096001, 0.00360467, -0.00369559, -0.00430956, -0.0069291, -0.00482219, -0.01518858, -0.0035867, -0.0097805, -0.01039385, -0.00679263, -0.00973809, -0.00226646, -0.00141824, 
